District,Block,Village,Year,OID_,total_household,household_with_connection,connection_percentage
East Garo Hills,Dambo Rongjeng,Anchengbok,2022-2023,458471,65,30,46.15
East Garo Hills,Dambo Rongjeng,Asim Agal,2022-2023,458472,100,55,55.0
East Garo Hills,Dambo Rongjeng,Badilpa Apal,2022-2023,458473,34,20,58.82
East Garo Hills,Dambo Rongjeng,Balsrigittim,2022-2023,458474,45,0,0.0
East Garo Hills,Dambo Rongjeng,Baringgre Chambildam,2022-2023,458475,69,40,57.97
East Garo Hills,Dambo Rongjeng,Baringgre Nokat,2022-2023,458476,169,51,30.18
East Garo Hills,Dambo Rongjeng,Cheran Chikal,2022-2023,458477,95,25,26.32
East Garo Hills,Dambo Rongjeng,Cheran Songgital,2022-2023,458478,43,7,16.28
East Garo Hills,Dambo Rongjeng,Cheran Songgitcham,2022-2023,458479,87,28,32.18
East Garo Hills,Dambo Rongjeng,Chibilbang,2022-2023,458480,65,35,53.85
East Garo Hills,Dambo Rongjeng,Chigisin,2022-2023,458481,98,28,28.57
East Garo Hills,Dambo Rongjeng,Chigro Agal,2022-2023,458482,80,20,25.0
East Garo Hills,Dambo Rongjeng,Chigrosonggital,2022-2023,458483,27,0,0.0
East Garo Hills,Dambo Rongjeng,Chijonggittim,2022-2023,458484,45,30,66.67
East Garo Hills,Dambo Rongjeng,Chikal Pekro,2022-2023,458485,69,33,47.83
East Garo Hills,Dambo Rongjeng,Dagal Dogru,2022-2023,458486,28,0,0.0
East Garo Hills,Dambo Rongjeng,Dagal Nokat,2022-2023,458487,52,14,26.92
East Garo Hills,Dambo Rongjeng,Dagal Simseng,2022-2023,458488,65,34,52.31
East Garo Hills,Dambo Rongjeng,Dambo Gittim (dambogitonggittim),2022-2023,458489,74,0,0.0
East Garo Hills,Dambo Rongjeng,Dambo Rongdeng,2022-2023,458490,108,0,0.0
East Garo Hills,Dambo Rongjeng,Dambo Charegittim,2022-2023,458491,35,0,0.0
East Garo Hills,Dambo Rongjeng,Darugre Reserve,2022-2023,458492,28,0,0.0
East Garo Hills,Dambo Rongjeng,Darusak,2022-2023,458493,62,0,0.0
East Garo Hills,Dambo Rongjeng,Datang Agal,2022-2023,458494,42,20,47.62
East Garo Hills,Dambo Rongjeng,Dikagittim,2022-2023,458495,19,10,52.63
East Garo Hills,Dambo Rongjeng,Diplokgittim,2022-2023,458496,47,15,31.91
East Garo Hills,Dambo Rongjeng,Doadugittim,2022-2023,458497,42,16,38.1
East Garo Hills,Dambo Rongjeng,Dogepgipuram,2022-2023,458498,45,0,0.0
East Garo Hills,Dambo Rongjeng,Dombu Gittim,2022-2023,458499,57,0,0.0
East Garo Hills,Dambo Rongjeng,Gabil Ading,2022-2023,458500,169,0,0.0
East Garo Hills,Dambo Rongjeng,Gabil Boldil,2022-2023,458501,46,0,0.0
East Garo Hills,Dambo Rongjeng,Gabil Gandual,2022-2023,458502,77,30,38.96
East Garo Hills,Dambo Rongjeng,Gabil Pathar,2022-2023,458503,146,0,0.0
East Garo Hills,Dambo Rongjeng,Gauram,2022-2023,458504,28,15,53.57
East Garo Hills,Dambo Rongjeng,Haslong Dumachok,2022-2023,458505,59,21,35.59
East Garo Hills,Dambo Rongjeng,Haslong Mechimram,2022-2023,458506,116,60,51.72
East Garo Hills,Dambo Rongjeng,Haslong Nagimaram,2022-2023,458507,96,0,0.0
East Garo Hills,Dambo Rongjeng,Haslong Songgittal,2022-2023,458508,19,0,0.0
East Garo Hills,Dambo Rongjeng,Jalwagre Asokagittim,2022-2023,458509,40,0,0.0
East Garo Hills,Dambo Rongjeng,Jalwagre Songgitcham,2022-2023,458510,32,0,0.0
East Garo Hills,Dambo Rongjeng,Jalwagre Songital,2022-2023,458511,78,0,0.0
East Garo Hills,Dambo Rongjeng,Jambal Songma,2022-2023,458512,107,27,25.23
East Garo Hills,Dambo Rongjeng,Kanchijagittim,2022-2023,458513,61,20,32.79
East Garo Hills,Dambo Rongjeng,Lower Gabil Pathar,2022-2023,458514,89,0,0.0
East Garo Hills,Dambo Rongjeng,Lower Nongbak Apal,2022-2023,458515,150,0,0.0
